Korean,English
거기 멤버들 중에 남자 세 분이 고정이고 다른 멤버분들이 돌아가면서 게스트로 나오고 있어!,"Among the members there, three male members are fixed and the other members take turns appearing as guests!"
아하 뭐 하는 프로그램이야?,"Aha, what program is that?"
농촌 생활!,Country life!
저번 주에는 *** 배우 나오셔서 오잉 했는데 반전이 있어,"Last week, actor *** appeared and I was like, &quot;Oh, wow&quot;, but there was a twist"
아 재밌는거네 키키,"Oh, this is fun, Kiki"
삼시 세끼 같다 완전,"It's like three meals a day, totally"
그 세분과 교집합이래 키키,Kiki is the intersection of that subdivision
짱친들이래,They're really close friends
오 ***이라는 분 누군지 찾아봐야겠다,I need to find out who this guy named Oh *** is.
*** 배우 그림도 진짜 잘 그리시더라,*** The actor's drawings are really good too
오 벌써 매력 넘치시는데?,"Oh, you're already so charming?"
좋아하는 만화 뭐였어?,What was your favorite cartoon?
난 짱구 제일 좋아해,I like Shinchan the best
난 완전 다다다 사랑했거든 봤어?,Did you see that I absolutely loved Dada?
들어본 거 같은데 아기 나오는 건가?,"I think I've heard of it, is it a baby coming out?"
헐 맞아,Oh right
너무 귀여워,so cute
오 그럼 어렴풋이 기억날 거 같다,"Oh, then I think I remember it vaguely"
요즘 짱구 한다던데 요즘도 봐?,I heard you're watching Crayon Shin-chan these days. Do you still watch it these days?
나는 유튜브에서 찾아서 보는 편이야,I tend to search and watch on YouTube
유튜브에 뭐라고 검색해?,What do you search on YouTube?
그냥 짱구 7기 막 이런 식으로 치면 다 나와 키키,"If you just type in Shinchan Season 7 like this, they all come out and Kiki"
다른 만화 본 거 뭐 있어?,What other cartoons have you read?
학생 때 도라에몽도 가끔 봤지 키키,"When I was a student, I watched Doraemon and Kiki sometimes."
시간 때우기용으로,To kill time
도라에몽 진구 너무 귀여워,Doraemon Nobita is so cute
그중에 누가 젤 좋아?,Which one do you like the best?
마자 하하 난 도라에몽이 제일 좋아,Hahaha I like Doraemon the best
같이 살고 싶어,I want to live together
투니버스랑 챔프 중에 뭘 더 자주 봤어?,"Which do you watch more often, Tooniverse or Champ?"
난 무조건 투니버스 파였어 키키,I was definitely a Tooniverse fan Kiki
나 오늘 저녁 애슐리 먹었어,I had Ashley's for dinner tonight
오 거기 요즘 뭐 팔아?,"Oh, what are they selling there these days?"
이것저것 다양하게 많이 팔더라,They sell a lot of different things
너는 뭘 가장 맛있게 먹었어?,What did you eat most deliciously?
난 초밥 좋아해서 초밥 많이 먹었어,I like sushi so I ate a lot of sushi.
오 또 맛있는 거 뭐 있어?,"Oh, what else is delicious?"
요즘 쌀국수도 만들어주고 피자 맛있더라,"These days, they make rice noodles and pizza is delicious."
오 완전 양식 일식 다 있구나,"Oh, there are all kinds of Japanese food."
응응 그래서 골라 먹기 좋은 거 같아,"Yeah, so I think it's good to choose"
넌 양식 일식 한식 중식 중에 뭘 제일 좋아해?,"What do you like best among Western, Japanese, Korean, and Chinese food?"
난 해산물 엄청 좋아해서 일식이 제일 좋아,"I really like seafood, so Japanese food is my favorite."
오 나는 요즘 중식에 빠졌어 키키,Oh I'm into Chinese food these days Kiki
오 중식 중에 어떤 음식?,"Oh, what food do you eat during lunch?"
요즘 마라탕에 빠져서 못 헤어 나오고 있어,I'm so into spicy stew these days that I can't get out of it
나 마라탕 한번도 안 먹어봤는데,I've never had mala-tang before
나랑 같이 먹으러 가자,Come eat with me
맛집 잘 알아,I know a good restaurant
너는 어렸을 때부터 아파트 살았어?,Have you lived in an apartment since you were young?
아니 주택에서 살다가 초등학생 때 아파트로 이사 갔어,"No, I lived in a house and then moved to an apartment when I was in elementary school."
아파트 살면서 어떤 점이 편했어?,What did you find convenient about living in an apartment?
그 당시엔 엘레베이터 있는 게 가장 신났어,"At that time, the most exciting thing was that there was an elevator."
예전 주택엔 엘레베이터가 없었구나?,There wasn't an elevator in the old house?
응응 높게 살진 않았지만 계단이 힘들었어,"Yeah, I didn't live very high up, but the stairs were hard."
몇 층 살았는지 물어봐도 돼?,Can I ask which floor you live on?
난 그때 5층 건물에 4층 살았어,I lived on the 4th floor of a 5-story building at that time.
와 대박 나는 주택 살 때 전세였는데...,"Wow, I hit the jackpot when I bought the house..."
우리 집도 그때 전세로 살았어,My house was also rented at that time.
지금이랑 그때랑 전세 가격 차이 생각해보면 답도 없겠지,"If you think about the difference in rent prices between then and now, there's no answer."
그치... 요즘은 전세 알아보다가 그냥 조금 더 해서 매매하니까,"Right... These days, I look into renting and then just buy it for a little more."
맞아 그게 참 현실이다,"Yes, that is the reality"
그게 맞는 걸까 집은 언제 생기려나,Is that right? When will the house be built?
그러니까 이 정도 가격이면 뭐 손가락만 빨아도 앙델듯,"So, at this price, I can suck my thumb and get a lot for free"
너무 차이가 커서 당황스럽긴 해,The difference is so big that I'm confused
나 곧 외근 가는데 새로운 도전이 있어,I'm going on a business trip soon and I have a new challenge.
오 뭔데? 무슨 도전이야?,"Oh, what is it? What kind of challenge is it?"
9호선 타고 출근 해야 해,I have to take Line 9 to work.
출퇴근 시간 9호선 안 타봤어?,Have you never ridden Line 9 during rush hour?
응... 출퇴는 안 타봤어... 너 타봤어?,Yeah... I haven't ridden it... Have you ridden it?
응 그냥 너의 의지는 없다고 생각하면 돼,"Yeah, just think of it as you having no will."
아 흘러가는 대로 흘러가면 돼?,"Ah, can I just go with the flow?"
그냥 앞 사람이 가는 길 같이 가,Just follow the path the person in front of you is taking
와 내가 살 수 있는 방법이구나,"Wow, this is how I can live."
꿀팁이야 그리고 한번에 탈 욕심 가지면 안돼,This is a good tip and don't be greedy and try to get rid of everything at once.
어? 아 한번에 못 타고 인원 막 짤려?,"Huh? Oh, you can't ride it all at once and the number of people keeps getting cut?"
그래서 시간 여유롭게 나가야 해,So you have to go out with plenty of time to spare
헐 그럼 첫날 완전 여유롭게 나가야겠다!,"Wow, then I guess I'll just have to take it easy on the first day!"
9호선 무슨 전철역인데?,What subway station is this on Line 9?
아마 국회의사당역인 걸로 알고 있어!,I think it's probably the National Assembly Station!
그 전철역 가봤어?,Have you been to that subway station?
엄청 빡쎌 거야,It's going to be really tough
나 외근 처음 가본다!,This is my first time working outside the office!
너 행복해 보이는데 기분탓이야?,You look happy. Is it because you're in a good mood?
처음인 게 신기해 다 신기해,"It's amazing that it's the first time, everything is amazing"
그래 즐기는 게 최고야,"Yeah, enjoying it is the best"
마자 너무 사람은 적응하는 동물이니까 다 적응하겠지,"People are animals that adapt, so they will all adapt."
다른 직장 때는 근무지가 한 곳이였어?,"When you worked at other jobs, was your workplace just in one place?"
아 경호 때는 전국이여서 사실 나의 자리가 없었어,"Ah, during the security service, it was nationwide, so there was really no place for me."
전국? 다 돌아다니는 거야? 어디든?,Nationwide? You go all over the place? Anywhere?
응응 전국 출장 전문이였지,"Yeah, I was a specialist in nationwide business trips."
와우 어디가 제일 멀었어?,"Wow, which one is the farthest?"
목포 부산 이 정도 다 다녀왔지,I've been to Mokpo and Busan.
제일 길게 출장 다녀온 기간은?,What was the longest period of time you were away on business?
내가 3개의 지역을 17일 동안 돌아다닌 적이 있어,I once traveled to 3 areas for 17 days.
헐 대박 집도 못 가고 17일?,"Wow, wow, I can't even go home for 17 days?"
응 그때 한 달에 두 번 쉬었어...,"Yeah, I took two days off a month back then..."
주말 평일 이런 게 없었구나,There was nothing like this on weekends and weekdays
내 친구 직업군인인데 연락 와써!,"My friend is a career soldier, contact me!"
엥 ? 뭐라고 연락 왔는데?,Huh? What did you say?
이제 휴가는 풀렸대,Now the vacation is over
그럼 전국 다 풀린 거래?,So the whole country is free of charge?
대신 거주지만 돌아다닐 수 있다는 것 같아,"Instead, it seems like you can only walk around your residence"
제한을 두고 휴가가 가능하구나,It is possible to take a vacation with restrictions
걔 육군인데 수원에 있거든!,He's in the army and he's in Suwon!
근데 군인은 걸리면 비상이긴 하겠다,"But if a soldier gets caught, it's an emergency"
그치 맞아 다같이 생활하다 보니,"That's right, since we all live together"
이래도 저래도 너무 위험하구나,"Either way, it's too dangerous"
그래서 나와서 뭐하고 싶냐고 물어봤더니,So I came out and asked him what he wanted to do.
뭐라고 대답 왔어?,What did you say?
그냥 술 술 술 먹고 싶대,I just want to drink alcohol alcohol
술을 엄청 좋아하는 친구구나 키키,"Kiki, you're a friend who really likes alcohol."
아니 그냥 술을 먹고 싶대 키키 고픈가 봐,"No, I just want to drink. Kiki must be hungry."
거기 계속 있으면 그럴 수 있어,"If you stay there, it could happen"
학교 다닐 때 선생님 기억나?,Do you remember your teachers when you were in school?
초등학교 4학년 담임 선생님 생각나,I remember my 4th grade teacher
초등학교가 생각나?,Does it remind you of elementary school?
어떤 분이셨어?,What kind of person was he?
영어 선생님이셨는데 영어 발음이 너무 매력 있었어,"He was an English teacher, and his English pronunciation was so charming."
요즘 컴활1급 준비하는 건 잘 되고 있어?,Are you going well with your preparation for the Level 1 Computer Proficiency Exam these days?
2급으로 만족 하고 싶은데...,I want to be satisfied with level 2...
1급이 꼭 필요한 거야?,Is level 1 really necessary?
거의 1급은 다 있어야 한다고 하더라 ㅜㅜ,They said that almost all 1st graders should have it ㅜㅜ
1급 실기만 보면 돼?,Do I just need to look at the level 1 practical test?
응 1급 필기는 붙었지,"Yeah, I passed the level 1 written test."
와 그래도 필기 붙은 것도 대단하다,"Wow, it's amazing that the handwriting is still there"
필기 몇 번 떨어져서 진짜 어려웠어,It was really hard because I failed the writing test several times.
어디서 시험 봤었어?,Where did you take the test?
나 부천 상공회의소에서 봤어,I saw it at the Bucheon Chamber of Commerce
엇 나는 인천 상공회의소에서 봤는데,"Oh, I saw it at the Incheon Chamber of Commerce and Industry"
인천은 두 개 있지?,"There are two in Incheon, right?"
사촌언니 필테 강사인데 직접 배우고 싶다,My cousin is a Pilte instructor and I want to learn directly from her.
오 어디서 근무 하시는데?,"Oh, where do you work?"
강원도 원주에서 하고 있어,"I'm doing it in Wonju, Gangwon-do"
원주 놀러 가 본 적 있어?,Have you ever been to Wonju?
응응 자주 가 센터는 주차장까지만 가봤어,"Yeah, I go there often. I've only been to the parking lot."
앜 키키 주차장은 왜 갔어?,Why did you go to the Kiki parking lot?
언니 출근 시켜주려고 데려다줬징,I dropped my sister off at work.
어머 언니가 좋아하셨겠다,"Oh, I bet your sister would have liked it"
운전 하는 거 안 좋아하는데 맨날 하고 다니거든 키키,"I don't like driving, but I do it all the time Kiki"
오 그럼 더 좋아하셨겠다,"Oh, then you would have liked it more"
응응 그래서 출근인데도 표정이 좋았어,"Yeah, yeah, so you had a good expression even though you were going to work"
뿌듯했겠다~ 아주 잘했어,You must have been proud~ You did a great job
마자 다음에도 시간 되면 데따줘야징,I'll have to bring it to you next time too
사촌언니도 외동이신 거야?,Is your cousin also an only child?
아니 3살 아래 여동생 있어!,"No, I have a younger sister who is 3 years younger than me!"
여동생 3살 차이면 귀엽겠다,It would be cute if my sister was 3 years older
너 연애 요즘 하고 싶다며!,You said you wanted to date these days!
응 맞아 고파 이제,Yeah right I'm hungry now
내가 한번 내 주위에서 찾아볼게 이상형은?,Let me look around me. What is my ideal type?
키 크고 후드티 잘 어울리는 사람,A tall person who looks good in a hoodie
오 일단 후드티를 다 입혀봐야겠다,"Oh, I guess I'll have to put on the hoodie first."
아 키키 그래 후드티가 좋아,Ah Kiki yeah I like hoodies
성격 쪽으로는 어떤 사람이 좋아?,What kind of person do you like in terms of personality?
난 재밌게 같이 놀 수 있는 사람,I'm someone who can have fun hanging out with others
오 맞아 중요하지 같이 있는 시간,"Oh right, the time we spend together is important"
같이 있을 때 즐거운 시간이면 좋겠어 서로,I hope we have a good time together
마자 중요하지 중요해 내가 찾아볼게,"It's important, it's important, I'll look it up"
너 이상형은 어떻게 되는데?,What is your ideal type?
난 말 이쁘게 하는 사람!,I'm a pretty talker!
그거면 돼? 다른 건?,Is that okay? What about anything else?
말 이쁘게만 해주면 좋겠어,I wish you would just speak nicely
나도 한번 찾아 볼겡,I'll look for it too
너 저번에 이구아나 키워봤다고 했지?,"You said you raised an iguana last time, right?"
웅 완전 어렸을 때 키웠었어,"Yeah, I raised it when I was really young."
다시 왜 안 키워?,Why don't you raise it again?
생각보다 관리가 너무 힘들더라,It was harder to manage than I thought
아 그렇긴 하겠다 토끼 키우는 건 어때?,"Oh, that's true. How about raising a rabbit?"
그럼 너부터 키워봐!,Then raise yourself first!
미안 엄마가 털알레르기 있으셔,"Sorry, my mom has a hair allergy."
나도 오늘부터 있는 것 같아,I think I'm starting today too
어머 어머 너 지금 토끼 싫다고 하는 거야?,"Oh my, oh my, are you saying you don't like rabbits right now?"
아니 토끼 좋지 이쁘지 근데 우리 집에 들어오는 게 상상 안돼,"No, the rabbit is nice and pretty, but I can't imagine it coming into my house."
아 키키 키우는 건 또 다르니까~,"Ah, raising Kiki is different~"
그치 동물원에서 봐야지,"Yeah, you should see it at the zoo."
울할무니 토끼 키우셨었는데!,My grandmother used to raise rabbits!
신기하다 어디서 키우셨는뎅?,That's amazing. Where did you grow it?
마당에서 키우셨어 키키,"Kiki, you raised me in the yard"
그래서 난 마당 잘 못 갔어,So I didn't go to the yard properly
토끼도 무서워? 그 귀여운 토끼가?,Are you scared of rabbits? Of those cute rabbits?
필라테스 이제 이용권 끝났어?,Is your Pilates pass over now?
한번 남았는데 담 주에 가려구,I have one left and I'm going next week
지금은 무슨 운동해?,What kind of exercise are you doing now?
헬스에서 혼자 기구하고 런닝뛰엉,I'm running alone at the gym.
오 혼자서도 잘해요야?,"Oh, you can do it by yourself?"
혼자서 간단한 건 할 수 있지,I can do simple things by myself
나도 알려줭 난 못해,"I told you too, I can't do it"
내 말 잘 들을 거야?,Will you listen to me?
넌 내가 아프다고 하면 말 들어줄 거야?,Will you listen to me if I tell you I'm sick?
아니? 그건 다 뻥이야,No? That's all a lie.
어머 이선생님 안되겠네 안 배울란다,"Oh, Mr. Lee, I can't do it. I won't learn."
내가 잘 가르쳐줄게 나 생체 있잖아,I'll teach you well. I have a body.
그럼 너 나한테 피구 배울래?,"So, do you want to learn dodgeball from me?"
엥 너한테 내가 왜?,"Hey, why me to you?"
나도 피구 지도자 자격증 있어 드루와,I also have a dodgeball coaching license.
아 미안 나 구기종목 싫어해,Oh sorry I hate ball games
넥슨컴퓨터박물관 있는 거 알아?,Did you know there's a Nexon Computer Museum?
제주도에 있다고 한 것 같은데,I think it was said to be in Jeju Island
맞아 거기 가봤어?,"Yeah, have you been there?"
아니 사진으로만 봤엉,"No, I only saw it in pictures"
거기 나 이번에 다녀왔거등!,I went there recently!
오 뭐 있어? 재밌어?,"Oh, what is it? Is it fun?"
응 넥슨게임 다 있어,"Yeah, I have all Nexon games"
그 게임 다 무료인 거야?,Are all those games free?
입장료 내고 들어간 후에는 다 무료!,"After paying the admission fee, everything is free!"
그럼 입장료 얼만데?,So how much is the admission fee?
팔천 원이였던 것 같아!,I think it was eight thousand won!
그거 내고 들어가면 다 무료라고?,"If I pay that and go in, everything is free?"
응응 그건 좋지?,"Yeah, is that okay?"
볼 것도 많아,There's a lot to see
넌 가서 무슨 게임 했는데?,What game did you go and play?
철권 오래하고 그 막 총 쏘는 거 하고 난 거의 다 하고 왔지롱,I've been playing Tekken for a long time and I've been shooting guns and I'm almost done with it.
나도 담에 가봐야겠다,I should go there next time too
해외여행 가보고 싶은 곳 있어?,Is there a place you want to go on a trip abroad?
난 너가 추천해준 블라디보스톡 가보고 싶어,"I want to go to Vladivostok, which you recommended"
내가 계획 짜놓은 거 엑셀로 있어 그거 줄게,"I have a plan in Excel, so I'll give it to you."
고마워 너는 또 안 가고 싶어?,Thank you. You don't want to go again?
가족여행으로 가보고 싶어,I want to go on a family trip
그 정도면 진짜 좋았나 보다,I guess it was really good to that extent
근데 두 분을 모시고 잘 설명 드릴 수 있을까 싶어 키키,But I wonder if I can explain it well to you two.
그래서 가족끼리 갈 때는 다 여행사 끼고 가더라,"So when we go with family, we always go with a travel agency."
맞아 너 블라디보스톡 궁금한 거 없어?,"Right, do you have any questions about Vladivostok?"
거기 기차 타봤어?,Have you ever ridden the train there?
응응 되게 깔끔하고 자리도 넓엉,"Yeah, it's really clean and the space is spacious."
주로 이동은 어떻게 했어?,How did you mainly get around?
기차 전철 그리고 거의 다 걸어 다녔어,"I took the train, subway and walked most of the way."
구경하는 곳이 걸어 다닐만한 거리야?,Is the place you're looking at within walking distance?
다 그렇게 계획하고 숙소도 꼭 그렇게 골랐어,I planned it all like that and even chose my accommodation like that.
꼭 그 엑셀 나 보여줘,Please show me that Excel
집에 전기장판이랑 온수매트 중에 뭐 써?,"What do you use at home, an electric blanket or a hot water mat?"
우리 집은 전기장판 너는?,Our house has an electric blanket. What about you?
난 온수 엄마 아빠도 온수!,"I'm hot, mom and dad are hot too!"
온수매트 물 채워줘야 하지 않아?,Don't you need to fill the water mat with water?
그렇긴 한데 생각보다 오래가!,"That's true, but it takes longer than you think!"
요즘 추워져서 꺼내긴 해야 해,"It's getting cold these days, so I have to take it out"
그 날씨를 표현하는 게 있대 봤어?,Have you seen something that expresses the weather?
엥 그게 뭐야? 알려줘,"Hey, what's that? Tell me."
보오옴 여어어어어어어어어어여름 갈 겨어어어어어울,Boohoooo ...
찰떡이다 여름이 진짜 길게 느껴져 키키,It's perfect. Summer feels really long Kiki
가을 진짜 어디 갔어,Where did fall really go?
누구야 좋은 말 할 때 가을 가지고 와라,Who is it that brings autumn when you say nice things?
그러니까 ㅜㅜ 가을이 제일 좋은디 너는?,So ㅜㅜ do you like fall the best?
난 사실 여름이 좋아,I actually like summer
헐 왜 그런 생각을 가지고 있어?,"Wow, why do you think that?"
왜 그래 너?,What's wrong with you?
난 더위 잘 안 타지롱,I don't feel the heat very well
속초 최근에 놀러 간 적 있어?,Have you been to Sokcho recently?
아니 없어 왜?,"No, why not?"
22일 0시 기준 2단계로 떨어진대!,"As of midnight on the 22nd, it has been lowered to level 2!"
와 2단계라는 걸 들어본 지 오래다,"Wow, it's been a while since I've heard of a 2-step thing"
그러니까 그래도 비수도권은 다행히 점점 떨어지고 있나 봐,"So, fortunately, it seems like the non-metropolitan areas are gradually falling."
그래 다들 이제 좀 정상으로 돌아와야지...,"Okay, everyone needs to get back to normal now..."
생각해보니 어제 수요일이였는데 얼마나 확진자 나왔지?,"Come to think of it, yesterday was Wednesday. How many confirmed cases were there?"
오늘이 더 많대...,There are more today...
헐 얼마나? 오늘 목요일인데도?,"Wow, how much? Even though it's Thursday today?"
6시 기준 141명 더 나왔대...,"As of 6 o'clock, 141 more people came out..."
헐 그럼 총 몇 명이야?,"Oh, so how many people are there in total?"
오후 6시 기준 1216명이랩,"As of 6pm, 1216 people are in the lab"
그래도 2천명 대로는 안 올라오네 휴,"Still, it doesn't go up to 2,000 people."
맞아 그게 어디야 진짜,Yeah where is that really
전에는 세자리라고 했을 때 놀랬는데,I was surprised when you said it was three digits before.
이제 그냥 네자리...,Now just four digits...
중국에서 아이들이 사고 친 거 봤어?,Have you seen the accidents that kids have in China?
아니 중국 왜 또?,"No, why China again?"
안 들어도 화나네,I'm angry even without listening
19년도에 사망하신 아버지 보험금이 이제 나오셨는데...,"My father's insurance money, who passed away in 2019, has just been paid out..."
응응 왜 이렇게 늦게 나오신 거지?,"Yeah, why are you out so late?"
그게 우리 돈으로 4천만 원 정도래,That's about 40 million won in our money.
그걸 아이들이 관리 어떻게 하지?,How do children manage that?
지금 고모가 키워주고 계시대,My aunt is raising me now
아 그럼 고모께서 관리해주시겠다~,"Oh, then your aunt will take care of it~"
근데 형제가 고모 폰으로 게임을 했나 봐,But I think my brother played a game on my aunt's phone
잠시만 핸드폰...? 왜 불안하냐,"Wait a minute, cell phone...? Why are you anxious?"
근데 게임하고 뭐 성인인증까지 해서 게임으로 탕진...,"But I squandered all my money on games, including the adult verification..."
와씨 그 큰 돈을 게임으로?,"Wow, that much money for a game?"
그러니까 그것도 아버지 사망 보험금인데...,"So, that's also father's death insurance money..."
아니 얼마나 어린애들이길래?,"Oh, how many children are they?"
초등학생 10살 11살이래,"Elementary school student, 10 or 11 years old"
너무 속상하다... 아버지 보험금을...,I'm so upset... I lost my father's insurance money...
나 요즘 속눈썹 펌에 빠졌어,I'm into eyelash perms these days
오 나 한번도 안 해봤는데 우때?,"Oh I've never done it before, when?"
화장할 때 완전 편하고 예쁘게 해주셔서 좋아,I like it because it makes me feel comfortable and pretty when I put on makeup
속눈썹 펌 가격은 얼마 정도 해?,How much does eyelash perm cost?
매장마다 거의 다른데 내가 가는 곳은 3만원이야,"It varies from store to store, but the place I go to costs 30,000 won."
생각보다 저렴하구나?,It's cheaper than you thought?
유지는 얼마나 가?,How long does it take to maintain?
길면 6주 7주 가는 거 같아,I think it'll take 6 or 7 weeks
와 유지력 최고네 나도 알려줘 해보고 싶어,"Wow, the staying power is the best. Please let me know. I want to try it too."
너 요즘도 네일 자주 해?,Do you still do your nails often these days?
아니 손톱이 망가져서 안하고 있어 너는?,"No, you're not doing it because your nails are damaged."
나는 꾸준히 받고 있어 손톱 강화제 알려줄까?,I'm receiving it regularly. Should I tell you about a nail strengthener?
응응 알려주라 나 진짜 심각해...,"Yeah, tell me, I'm really serious..."
이니스프리 제품 사용하고 있는데 괜찮더라,I'm using Innisfree products and they're good.
고마워 진짜 내일 바로 사야겠다,"Thank you, I'll buy it tomorrow"
구래 회사 주변에 이니스프리 있으면 무조건 들어가,"If there is an Innisfree around your company, you have to go there."
오늘 자기 전에 찾아봐야지 키키,"I have to look it up before I go to bed tonight, Kiki"
어제 인바디 쟀는데 체지방이 늘었어...,I had an InBody test yesterday and my body fat increased...
헐 완전 속상하겠다 ㅜ,"Oh my gosh, I'm so upset ㅜ"
웅 그래서 운동 빡쎄게 할라고 다시,"Yeah, so I'm going to work out hard again"
체지방 빼는 건 진짜 어려운 거 같아,I think losing body fat is really difficult.
너도 인바디 가끔 재?,Do you also do InBody sometimes?
나도 한 달에 한번씩 헬스장에서 재 하하,I also go to the gym once a month haha
오 그럼 변화 잘 보여?,"Oh, then do you see the change well?"
아니 키키 생각보다 확 보이진 않더라고,"No, Kiki, it wasn't as visible as I thought."
헬스장에선 무슨 운동 자주 해?,What kind of exercise do you often do at the gym?
나는 매일 유산소랑 근육 운동해 키키,I do cardio and muscle training every day Kiki
오 나도 알려주라 루틴 궁금해,Oh please tell me too I'm curious about the routine
등 운동 하는 날은 하체랑 같이하고 가슴이랑 어깨 같이 해,"On days when you work your back, do it with your lower body, and on days when you work your chest and shoulders, do it with your lower body."
와 엄청 체계적이다 멋있어,"Wow, it's so systematic and cool"
키키 나도 주변 사람들한테 얻어 온 정보야,"Kiki, I also got this information from people around me."
그럼 유튜브로 운동 공부도 해?,"So, do you also study exercise on YouTube?"
응 유튜브로 다른 사람 운동하는 거 보는 거 좋아해,"Yeah, I like watching other people exercise on YouTube."
너희 어머니도 쇼핑몰에서 쇼핑 자주 하셔?,Does your mother often shop at the mall?
어우 말도마... 매일 집 앞에 택배가 있어,"Oh, don't be ridiculous... There's a package in front of my house every day."
아 키키 우리 엄마랑 똑같으시네,"Ah Kiki, you look just like my mom"
너희 어머닌 어디 쇼핑몰에서 자주 쇼핑하셔?,Where does your mother often go shopping?
현대홈쇼핑 롯데홈쇼핑 cj 여기저기서 다 시키셔 키키,"Order from Hyundai Home Shopping, Lotte Home Shopping, CJ, and everywhere else."
와우 키키 상품 시키면 만족해 하셔?,"Wow, are you satisfied with the Kiki products you ordered?"
아니... 10개 사면 8개는 반품하는 거 같아 키키,No... I think if you buy 10 you'll return 8 of them Kiki
키키 어머니 그러다 블랙리스트 올라가시겠다,"Kiki's mother, you'll end up on the blacklist"
안 그래도 내가 매일같이 그 말하는데 안 들으셔...,"Even though I say that every day, you don't listen..."
너는 쇼핑몰에서 뭐 사본 적 있어?,Have you ever bought anything at the mall?
아니 나는 사실 온라인 쇼핑 안 좋아해,"No, I actually don't like online shopping."
오 정말? 왜 안 좋아해?,Oh really? Why don't you like it?
옷 같은 건 사이즈 정확하게 못 재서 싫어해,I hate things like clothes because I can't measure their sizes accurately.
아 그치 그래서 실패할 확률이 크지,"Oh, right, so the probability of failure is high"
마자 그래서 그냥 매장 가서 사 입는 게 마음 편해,That's why I feel more comfortable just going to the store and buying it.
조금 값 나가더라고 그게 좋긴 하겠다,"It's a little expensive, but I guess that's good."
와 오늘 목요일이라 그런지 방송 볼만한 게 없네,"Wow, it's Thursday today so there's nothing worth watching on TV"
목요일은 진짜 볼 예능이 없드라,There really isn't any entertainment to watch on Thursdays.
어제 골 때리는 그녀들 했는데 봤어?,Did you see them hitting the goal yesterday?
응응 나 그거 엄청 자주 봐,Yeah yeah I see that a lot
아 진짜? 누구 응원해?,Oh really? Who are you rooting for?
난 액셔니스타에 최여진씨랑 김재화씨 응원해 키키,I support Choi Yeo-jin and Kim Jae-hwa in Actionista.
나는 구척장신 송해나씨 좋아하는데 키키,"I like Song Hae-na, who is tall and slim. Kiki"
아 그 분 성격 엄청 좋고 귀엽더라,"Oh, that person has a really good personality and is really cute."
마자 내 친구였으면 좋겠어,I wish you were my friend right now
얼마나 귀여워 해주려고 키키,How cute you are Kiki
그분께 의사부터 물어보자,Let's ask him first
키키 나랑 말은 섞어 주시려나,"Kiki, would you mind talking to me?"
주말 예능 중엔 뭐 챙겨보는 거 있어?,What entertainment shows do you watch on the weekends?
나 런닝맨 마니아야 완전 좋아해,I'm a Running Man fanatic. I really like it.
아 키키 런닝맨 좋지 나도 가끔 봐,"Ah Kiki, I like Running Man. I watch it sometimes too."
요즘 런닝맨 진짜 **어 키키 웃겨 죽겠어,Running Man these days is seriously **ah Kiki it's so funny I'm dying
너 완전한 찐팬이구나? 키키,Are you a total diehard fan? Kiki
와 영화관 안 간지 진짜 오래됐다,"Wow, it's been a really long time since I've been to the movies."
그러게 그런데 요즘 영화 값 얼마야 ?,"Yeah, but how much do movies cost these days?"
"오늘 지나가다 봤는데 13,000원 이더라","I saw it passing by today and it was 13,000 won"
"헐 13,000원? 아니 금액이 언제 그렇게 올랐어","Wow, 13,000 won? When did the price go up so much?"
그러니까 진짜 영화 값이 무슨 만원이 넘어...,"So the real price of the movie is over 10,000 won..."
말도 안되긴 해...,That's ridiculous...
아 곧 디즈니 새로운 영화 나온다던데,"Oh, I heard a new Disney movie is coming out soon."
궁금하다 어떤 애니메이션이야?,I wonder what kind of animation it is?
환상적인 마법의 세계로 초대하는 그런 내용인가 봐,I guess it's something that invites you to a fantastic world of magic.
오 나 디즈니 좋아해 하하,Oh I love Disney haha
그건 영화관에서 꼭 봐야지,You have to see it at the cinema.
맞아 디즈니는 무조건 영화관에서 봐야 해,"Yes, you absolutely have to watch Disney in the theater."
난 주토피아 진짜 재밌게 봤는데,I really enjoyed watching Zootopia
넌 디즈니 중에 뭐 좋아해?,What do you like about Disney?
나는 모아나 좋아해 하하 노래도 엄청 좋구,I like Moana haha and the song is really good too
디즈니 노래들은 다 명곡인 거 같아,I think all Disney songs are masterpieces
진짜 중독성도 엄청 있고 다 좋아,It's really addictive and I love it all
내일 출근하면서 디즈니 노래 들어야겠다,I have to listen to Disney songs on my way to work tomorrow.
오 나도 출근 준비 하면서 들어어지 키키,"Oh, I'm listening to Kiki while getting ready for work too"
역시 불금에는 닭발이 최고야!,Chicken feet are the best on Friday nights!
아 진짜 나도 닭발 먹고 싶따,"Oh really, I want to eat chicken feet too"
키키 어제 무뼈 닭발 먹었더니 진짜 존맛 ㅜ,Kiki I ate boneless chicken feet yesterday and it was really delicious ㅜ
아 정말 나도 무뼈 닭발 좋아하는데,"Oh, I really like boneless chicken feet too."
거기다가 계란찜까지 먹었쥐~ 존맛~,I even ate steamed eggs~ So delicious~
계란찜까지 하면 환상이지,It would be fantastic if you could make steamed eggs too
맞아 키키 그리고 주먹밥도 잊으면 안 돼~,"Yes, Kiki, and don't forget the rice balls~"
